ID_Product,LONG,LARG,HAUT,POIDS,Volume_Product,PREP,QTE,Famille,Algo
413432,164,127,127,3473,2645156,detail,500,0,2
414181,164,127,127,2711,2645156,detail,250,0,2
414187,170,125,105,2230,2231250,detail,100,0,2
414297,165,130,120,3460,2574000,detail,500,0,2
416475,195,190,115,286,4260750,detail,100,0,2
3063189,150,100,40,617,600000,detail,100,0,2
417519,599,400,150,3555,35940000,detail,1,0,2
306102,80,65,55,224,286000,detail,100,0,2
3686117,590,50,50,3239,1475000,detail,1,0,2
369670,250,226,103,3670,5819500,detail,10,0,2
368740,135,140,105,4700,1984500,detail,50,0,2
369267,190,140,110,5792,2926000,detail,100,0,2
3061799,300,296,97,2367,8613600,detail,1,0,2
3061800,271,269,105,1615,7654395,detail,1,0,2
3061824,89,86,73,55,558742,detail,1,0,2
3062557,132,114,89,1976,1339272,detail,100,0,2
287573,128,128,77,1134,1261568,detail,100,0,2
304876,230,200,30,2365,1380000,detail,3,0,2
3643174,500,340,60,483,10200000,detail,1,0,2
372615,172,121,95,740,1977140,detail,10,0,2
385817,180,140,60,2687,1512000,detail,100,0,2
386408,260,220,80,1657,4576000,detail,25,0,2
386485,520,315,160,4641,26208000,detail,20,0,2
243982,176,137,64,2159,1543168,detail,25,0,2
2237443,385,140,100,6107,5390000,detail,20,0,2
2184851,260,235,70,3491,4277000,detail,10,0,2
2288388,200,180,50,3749,1800000,detail,10,0,2
2287626,190,140,50,2654,1330000,detail,40,0,2
2006180,240,165,81,302,3207600,detail,1,0,2
2006632,154,125,64,3200,1232000,detail,1000,0,2
2006654,153,125,67,2554,1281375,detail,1000,0,2
2007249,120,95,135,1357,1539000,detail,500,0,2
2007740,115,95,85,1174,928625,detail,1000,0,2
2007754,119,94,175,2331,1957550,detail,1000,0,2
2004076,385,185,150,3072,10683750,detail,1,0,2
2004128,235,140,100,2808,3290000,detail,50,0,2
2004154,180,135,82,2126,1992600,detail,25,0,2
2004162,220,135,88,3247,2613600,detail,16,0,2
2004177,221,136,83,2955,2494648,detail,16,0,2
2004204,221,136,83,2796,2494648,detail,40,0,2
2004206,221,136,83,2233,2494648,detail,25,0,2
2004223,220,135,85,2825,2524500,detail,100,0,2
2004415,105,105,90,301,992250,detail,1,0,2
3712242,310,260,50,546,4030000,detail,1,0,2
2288372,280,250,90,1798,6300000,detail,10,0,2
2039186,150,130,15,112,292500,detail,1,0,2
2039211,230,60,12,67,165600,detail,1,0,2
2039261,575,32,32,322,588800,detail,1,0,2
2018433,235,140,52,3370,1710800,detail,20,0,2
2018960,600,180,50,1130,5400000,detail,1,0,2
201990,170,130,90,3500,1989000,detail,500,0,2
2015470,580,90,85,1878,4437000,detail,1,0,2
2018412,187,140,52,2521,1361360,detail,20,0,2
2013072,240,140,80,3101,2688000,detail,12,0,2
2076993,165,125,92,592,1897500,detail,1,0,2
2079926,180,135,85,3405,2065500,detail,50,0,2
204338,640,23,18,1248,264960,detail,1,0,2
2065475,565,120,52,1614,3525600,detail,1000,0,2
206551,340,40,25,128,340000,detail,1,0,2
2030467,415,360,10,1943,1494000,detail,1,0,2
2074630,145,100,40,296,580000,detail,1,0,2
206982,168,131,121,2039,2662968,detail,100,0,2
2037073,250,50,50,840,625000,detail,8,0,2
2054830,170,130,95,2580,2099500,detail,250,0,2
206608,225,38,38,970,324900,detail,12,0,2
206610,190,60,60,1019,684000,detail,12,0,2
2030903,290,90,15,210,391500,detail,1,0,2
2078909,550,40,20,348,440000,detail,1,0,2
2036089,220,140,85,4260,2618000,detail,10,0,2
205344,333,39,15,144,194805,detail,1,0,2
2053601,220,65,65,579,929500,detail,1,0,2
2105719,220,135,85,2652,2524500,detail,25,0,2
2106417,240,140,110,4679,3696000,detail,100,0,2
2088498,125,115,53,202,761875,detail,1,0,2
2105874,220,135,85,3921,2524500,detail,25,0,2
2105883,220,135,82,1943,2435400,detail,16,0,2
2105900,220,135,60,2568,1782000,detail,5,0,2
2120427,585,50,50,1480,1462500,detail,1,0,2
2090923,235,135,70,4125,2220750,detail,50,0,2
2122283,580,45,45,1040,1174500,detail,1,0,2
2122298,530,70,70,2587,2597000,detail,4,0,2
2122300,330,30,30,469,297000,detail,1,0,2
2123406,290,85,65,805,1602250,detail,1,0,2
2200894,410,380,5,1920,779000,detail,1,0,2
2115454,230,160,60,1859,2208000,detail,10,0,2
2141906,220,140,60,2675,1848000,detail,50,0,2
2184850,234,140,110,3411,3603600,detail,50,0,2
216489,129,80,54,1080,557280,detail,250,0,2
2173877,185,135,50,682,1248750,detail,100,0,2
2158691,490,380,70,284,13034000,detail,1,0,2
227895,280,200,70,1774,3920000,detail,25,0,2
227898,260,240,100,2520,6240000,detail,25,0,2
227911,280,110,70,1365,2156000,detail,25,0,2
2223884,375,140,50,4350,2625000,detail,10,0,2
237352,120,80,55,612,528000,detail,100,0,2
2223889,375,140,55,5015,2887500,detail,5,0,2
230780,164,116,89,2832,1693136,detail,50,0,2
230787,190,140,80,2874,2128000,detail,10,0,2
232865,161,96,84,499,1298304,detail,1,0,2
2229873,360,80,40,983,1152000,detail,250,0,2
223814,139,103,94,1031,1345798,detail,50,0,2
229811,300,200,80,1360,4800000,detail,25,0,2
243532,210,90,90,3092,1701000,detail,1,0,2
223811,155,112,93,1760,1614480,detail,50,0,2
2224225,220,35,15,61,115500,detail,1,0,2
2224283,195,35,35,376,238875,detail,8,0,2
2224292,245,35,35,563,300125,detail,8,0,2
2224566,550,395,200,2093,43450000,detail,1,0,2
2227704,280,160,50,3498,2240000,detail,2,0,2
2223843,190,140,50,2124,1330000,detail,20,0,2
242586,201,160,85,2062,2733600,detail,100,0,2
242608,91,81,71,780,523341,detail,100,0,2
229926,181,140,83,2500,2103220,detail,100,0,2
229928,222,135,82,3572,2457540,detail,100,0,2
224373,170,131,125,2085,2783750,detail,250,0,2
2246438,235,140,80,3792,2632000,detail,50,0,2
236565,360,280,20,274,2016000,detail,1,0,2
236567,360,280,20,274,2016000,detail,1,0,2
236573,360,280,20,274,2016000,detail,1,0,2
303685,360,330,20,1503,2376000,detail,1,0,2
2089269,185,135,75,2685,1873125,detail,500,0,2
282861,140,95,55,1666,731500,detail,200,0,2
283203,165,128,90,1522,1900800,detail,100,0,2
284551,230,25,15,160,86250,detail,5,0,2
290131,185,135,75,2071,1873125,detail,25,0,2
3060628,162,102,98,2500,1619352,detail,100,0,2
283999,216,133,99,1469,2844072,detail,50,0,2
304069,170,120,90,1613,1836000,detail,6,0,2
306085,122,80,52,404,507520,detail,100,0,2
288760,184,134,81,1892,1997136,detail,100,0,2
289433,340,70,70,1409,1666000,detail,6,0,2
282392,530,235,130,590,16191500,detail,1,0,2
99003025,80,80,60,1457,384000,detail,50,0,2
99003823,120,100,40,445,480000,detail,100,0,2
376142,166,122,54,767,1093608,detail,100,0,2
386414,260,260,75,1887,5070000,detail,10,0,2
2279755,285,160,120,4186,5472000,detail,100,0,2
2127788,185,135,65,2603,1623375,detail,50,0,2
420927,180,175,85,609,2677500,detail,1,0,2
431591,150,100,40,3460,600000,detail,10,0,2
386427,210,120,65,1191,1638000,detail,25,0,2
77936,121,81,55,660,539055,detail,100,0,2
3737764,230,140,60,988,1932000,detail,1,0,2
66256,160,120,70,1166,1344000,detail,200,0,2
420882,580,75,70,914,3045000,detail,1,0,2
420883,580,70,65,1013,2639000,detail,1,0,2
381026,180,135,85,1930,2065500,detail,20,0,2
2288391,350,230,50,4391,4025000,detail,10,0,2
2288385,230,200,70,4039,3220000,detail,20,0,2
382943,169,133,99,900,2225223,detail,10,0,2
381403,195,145,100,2652,2827500,detail,100,0,2
374917,520,230,60,3640,7176000,detail,1,0,2
84350,97,79,71,920,544073,detail,200,0,2
421907,595,30,30,701,535500,detail,1,0,2
374959,420,180,50,2609,3780000,detail,1,0,2
374963,520,200,50,3070,5200000,detail,1,0,2
370357,510,50,50,890,1275000,detail,1,0,2
421938,540,110,80,3484,4752000,detail,4,0,2
50372,210,200,130,1643,5460000,detail,1000,0,2
374186,200,200,50,1434,2000000,detail,25,0,2
382841,230,50,50,492,575000,detail,1,0,2
382932,185,135,110,958,2747250,detail,10,0,2
370504,123,81,53,458,528039,detail,100,0,2
88051,250,200,70,442,3500000,detail,500,0,2
2198297,280,163,120,4124,5476800,detail,50,0,2
2291267,180,140,80,1832,2016000,detail,100,0,2
371592,380,150,85,5173,4845000,detail,25,0,2
89203,315,218,63,2514,4326210,detail,25,0,2
423878,185,130,120,1471,2886000,detail,50,0,2
423880,280,125,125,2180,4375000,detail,50,0,2
423887,280,130,120,2544,4368000,detail,50,0,2
2163338,140,120,45,1259,756000,detail,1,0,2
383579,125,80,55,580,550000,detail,100,0,2
371785,238,144,80,5553,2741760,detail,10,0,2
306093,170,128,58,880,1262080,detail,100,0,2
2333963,530,90,80,6566,3816000,detail,4,0,2
371804,291,125,78,4143,2837250,detail,6,0,2
304254,185,140,80,2741,2072000,detail,1,0,2
3060221,220,190,120,5308,5016000,detail,500,0,2
71890,161,90,83,491,1202670,detail,1,0,2
425032,250,225,100,586,5625000,detail,1,0,2
435457,375,140,82,4533,4305000,detail,25,0,2
435849,290,220,105,1806,6699000,detail,1,0,2
377377,220,90,193,1190,3821400,detail,1,0,2
385882,189,138,65,922,1695330,detail,10,0,2
386218,185,165,140,3018,4273500,detail,100,0,2
304302,552,56,34,930,1051008,detail,2,0,2
435993,380,100,50,1028,1900000,detail,1,0,2
53185,280,185,55,3100,2849000,detail,25,0,2
372034,150,80,50,607,600000,detail,100,0,2
386441,380,290,90,2607,9918000,detail,10,0,2
298294,240,145,85,2603,2958000,detail,1,0,2
298774,80,128,55,437,563200,detail,100,0,2
2330631,235,70,53,1923,871850,detail,20,0,2
426117,142,128,115,576,2090240,detail,1,0,2
377991,180,140,80,3130,2016000,detail,16,0,2
298859,124,80,54,402,535680,detail,100,0,2
2322408,210,62,40,3898,520800,detail,15,0,2
438340,165,145,135,1205,3229875,detail,10,0,2
438361,163,143,135,1331,3146715,detail,10,0,2
438939,252,140,100,30,3528000,detail,1,0,2
438940,585,250,30,100,4387500,detail,1,0,2
375743,150,130,110,3335,2145000,detail,500,0,2
372288,482,277,68,2567,9078952,detail,1,0,2
375837,599,50,50,1054,1497500,detail,1,0,2
304788,165,126,56,2442,1164240,detail,100,0,2
2273698,290,105,50,425,1522500,detail,25,0,2
375841,500,40,40,850,800000,detail,1,0,2
386489,330,330,190,4855,20691000,detail,10,0,2
386544,300,240,40,2060,2880000,detail,20,0,2
304822,350,220,10,7128,770000,detail,1,0,2
2113976,220,135,85,2505,2524500,detail,50,0,2
2237398,190,140,100,2759,2660000,detail,40,0,2
376045,224,138,81,2049,2503872,detail,25,0,2
385857,135,100,90,1461,1215000,detail,100,0,2
385873,230,135,100,2460,3105000,detail,10,0,2
333151,350,70,60,2288,1470000,detail,10,0,2
3527655,150,97,97,361,1411350,detail,1,0,2
3477167,240,230,120,6400,6624000,detail,1000,0,2
2105884,235,140,80,3130,2632000,detail,12,0,2
247184,280,160,120,3437,5376000,detail,100,0,2
247357,81,60,53,229,257580,detail,100,0,2
3434157,220,135,85,2676,2524500,detail,25,0,2
333410,140,95,55,1973,731500,detail,50,0,2
333742,529,46,16,370,389344,detail,1,0,2
3629179,380,265,55,2218,5538500,detail,1,0,2
3631580,500,150,150,1865,11250000,detail,1,0,2
3631785,300,20,20,430,120000,detail,1,0,2
308396,238,82,53,1335,1034348,detail,5,0,2
247363,120,80,52,508,499200,detail,100,0,2
3412781,245,200,130,8260,6370000,detail,1000,0,2
34388,123,82,57,552,574902,detail,100,0,2
3441452,335,320,222,3968,23798400,detail,1,0,2
273663,190,140,80,2228,2128000,detail,100,0,2
260525,274,204,59,1985,3297864,detail,10,0,2
309340,193,136,52,1322,1364896,detail,100,0,2
309341,192,135,52,1538,1347840,detail,100,0,2
309343,192,135,80,2230,2073600,detail,100,0,2
34352,85,62,54,285,284580,detail,100,0,2
3488957,525,20,20,700,210000,detail,1,0,2
334684,334,180,38,544,2284560,detail,1,0,2
339033,529,70,66,1305,2443980,detail,1,0,2
339038,550,50,50,1820,1375000,detail,1,0,2
274489,185,66,66,781,805860,detail,10,0,2
285125,150,135,5,182,101250,detail,1,0,2
290391,245,130,130,3244,4140500,detail,100,0,2
335082,191,135,50,1547,1289250,detail,50,0,2
339347,240,140,50,3040,1680000,detail,8,0,2
