CODE_BARRE,NUM_ALVEOLE,LONGUEUR,LARGEUR,HAUTEUR,LIB_ALLEE,INDICE_COLONNE,LIB_COLONNE,LIB_NIVEAU,LIB_INDICE,COUT_EMPL,ID_GARE,Volume_Location,TYPE,Famille
AA-O1-01-A,0,2000,400,350,11,-1,6,0,A,0,GARENN,279999999,Dynamique colis,-1
12-06-00-A,0,2000,400,350,12,0,6,0,A,1,GARE04,280000000,Dynamique colis,0
12-06-00-B,0,2000,400,350,12,0,6,0,B,1,GARE04,280000000,Dynamique colis,0
12-06-00-C,0,2000,400,350,12,0,6,0,C,1,GARE04,280000000,Dynamique colis,0
12-06-01-A,0,2000,400,350,12,0,6,1,A,1,GARE04,280000000,Dynamique colis,0
12-06-01-B,0,2000,400,350,12,0,6,1,B,1,GARE04,280000000,Dynamique colis,0
12-06-01-C,0,2000,400,350,12,0,6,1,C,1,GARE04,280000000,Dynamique colis,0
12-06-02-A,0,2000,400,350,12,0,6,2,A,1,GARE04,280000000,Dynamique colis,0
12-06-02-B,0,2000,400,350,12,0,6,2,B,1,GARE04,280000000,Dynamique colis,0
12-06-02-C,0,2000,400,350,12,0,6,2,C,1,GARE04,280000000,Dynamique colis,0
12-06-03-A,0,2000,400,350,12,0,6,3,A,1,GARE04,280000000,Dynamique colis,0
12-06-03-B,0,2000,400,350,12,0,6,3,B,1,GARE04,280000000,Dynamique colis,0
12-06-03-C,0,2000,400,350,12,0,6,3,C,1,GARE04,280000000,Dynamique colis,0
12-07-00-A,0,2000,400,350,12,0,7,0,A,2,GARE04,280000000,Dynamique colis,0
12-07-00-B,0,2000,400,350,12,0,7,0,B,2,GARE04,280000000,Dynamique colis,0
12-07-00-C,0,2000,400,350,12,0,7,0,C,2,GARE04,280000000,Dynamique colis,0
12-07-01-A,0,2000,400,350,12,0,7,1,A,2,GARE04,280000000,Dynamique colis,0
12-07-01-B,0,2000,400,350,12,0,7,1,B,2,GARE04,280000000,Dynamique colis,0
12-07-01-C,0,2000,400,350,12,0,7,1,C,2,GARE04,280000000,Dynamique colis,0
12-07-02-A,0,2000,400,350,12,0,7,2,A,2,GARE04,280000000,Dynamique colis,0
12-07-02-C,0,2000,400,350,12,0,7,2,C,2,GARE04,280000000,Dynamique colis,0
12-07-03-A,0,2000,400,350,12,0,7,3,A,2,GARE04,280000000,Dynamique colis,0
12-07-03-B,0,2000,400,350,12,0,7,3,B,2,GARE04,280000000,Dynamique colis,0
12-07-03-C,0,2000,400,350,12,0,7,3,C,2,GARE04,280000000,Dynamique colis,0
12-08-00-A,0,2000,400,350,12,0,8,0,A,3,GARE04,280000000,Dynamique colis,0
12-08-00-B,0,2000,400,350,12,0,8,0,B,3,GARE04,280000000,Dynamique colis,0
