,index,ID_Product,ID_OP,ID_COLIS,CLIENT,QTE_COLISEE,ID_GARE,DATE_LIVRAISON,TYPE_OP,CODE_BARRE,PREP
0,4345,417598,278381485,1,537875079,1,GARE03,05/01/2021,UNIT,48-08-37-A,detail
1,4344,331553,278383166,1,537875757,6,GARE24,05/01/2021,UNIT,CF-04-02-A,detail
2,4343,2018426,278394665,1,537880806,3,GARE20,07/01/2021,UNIT,AG-01-03-B,detail
3,4342,417552,278400388,1,537883073,10,GARE03,08/01/2021,UNIT,48-01-10-A,detail
4,4341,2037106,278430055,1,537894882,1,GARE15,15/01/2021,UNIT,EB-03-02-A,detail
5,4340,2158315,278439717,1,537898885,1,GARE24,18/01/2021,UNIT,CF-01-05-A,detail
6,4339,417637,278446558,1,537901504,1,GARE03,19/01/2021,UNIT,48-32-17-A,detail
7,4337,438330,278475688,1,537912469,1,GARE20,25/01/2021,UNIT,AH-02-03-A,detail
8,4336,2037108,278481841,1,537913469,1,GARE08,26/01/2021,UNIT,EA-01-04-D,detail
9,4350,410020,278489679,1,537902289,1,GARE20,27/01/2021,UNIT,AJ-03-05-A,detail
10,4335,206507,278514466,1,537926887,2,GARE24,02/02/2021,UNIT,CE-01-02-A,detail
11,4334,324916,278523390,1,537930304,5,GARE16,03/02/2021,UNIT,EF-02-03-D,detail
12,4333,417640,278532641,1,537934658,1,GARE15,04/02/2021,UNIT,EB-02-03-D,detail
13,4332,429271,278542399,1,537937749,2,GARE06,08/02/2021,UNIT,12-27-00-A,detail
14,4331,39535,278589551,1,537956568,1,GARE03,17/02/2021,UNIT,48-02-24-A,detail
15,4330,2253055,278596869,1,537959388,1,GARE03,18/02/2021,UNIT,48-01-41-A,detail
16,4329,7609,278593921,1,537958512,1,GARE03,18/02/2021,UNIT,48-10-22-A,detail
17,4327,2223016,278600336,1,537940536,72,GARE24,19/02/2021,UNIT,CM-05-01-B,detail
18,4328,371776,278604564,1,537963413,2,GARE07,19/02/2021,UNIT,EF-01-03-D,detail
19,4326,417629,278618263,1,537968232,3,GARE03,23/02/2021,UNIT,48-19-08-A,detail
20,4325,2207833,278631158,1,537972662,1,GARE20,25/02/2021,UNIT,AK-03-05-A,detail
21,4324,282277,278643780,1,537976797,1,GARE24,01/03/2021,UNIT,CN-02-03-B,detail
22,4323,2136965,278645467,1,537928679,1,GARE03,01/03/2021,UNIT,48-15-04-A,detail
23,4322,383582,278669649,1,537987825,4,GARE23,04/03/2021,UNIT,BD-03-03-A,detail
24,4321,2081455,278667281,1,537986376,1,GARE05,04/03/2021,UNIT,12-15-00-A,detail
25,4320,2037038,278674475,1,537989102,1,GARE14,05/03/2021,UNIT,ED-02-04-B,detail
26,4319,2243179,278688501,1,537994325,1,GARE03,09/03/2021,UNIT,48-27-12-A,detail
27,4318,2222120,278703902,1,538000041,1,GARE24,11/03/2021,UNIT,CM-01-02-C,detail
28,4317,371826,278711894,1,538003423,1,GARE16,12/03/2021,UNIT,EF-02-05-B,detail
