ID_Product,PREP,LONG,LARG,HAUT,QTE,Volume_Product,POIDS,TYPE_OP,index,Number_Lines,Product_FREQUENCY,Quantity_demand,Average_Volume/Day,Familly
413432,detail,164,127,127,500,2645156,3473,UNIT,1673,53,0.20384615384615384,197,2004214.353846154,Normal
416475,detail,195,190,115,100,4260750,286,UNIT,1700,152,0.5846153846153846,3621,59339137.5,Normal
369670,detail,250,226,103,10,5819500,3670,UNIT,1216,12,0.046153846153846156,19,425271.1538461539,Normal
385817,detail,180,140,60,100,1512000,2687,UNIT,1409,6,0.023076923076923078,15,87230.76923076923,Normal
2237443,detail,385,140,100,20,5390000,6107,UNIT,4607,37,0.1423076923076923,90,1865769.2307692308,Heavy
2287626,detail,190,140,50,40,1330000,2654,UNIT,4987,28,0.1076923076923077,206,1053769.2307692308,Normal
2006180,detail,240,165,81,1,3207600,302,UNIT,2086,4,0.015384615384615385,10,123369.23076923077,Normal
2006654,detail,153,125,67,1000,1281375,2554,UNIT,2107,134,0.5153846153846153,545,2685959.1346153845,Normal
2007249,detail,120,95,135,500,1539000,1357,UNIT,2114,495,1.9038461538461537,13355,79051326.92307693,Normal
2007754,detail,119,94,175,1000,1957550,2331,UNIT,2134,78,0.3,478,3598880.3846153845,Normal
2004128,detail,235,140,100,50,3290000,2808,UNIT,2006,1084,4.1692307692307695,7072,89488000.0,Normal
2004154,detail,180,135,82,25,1992600,2126,UNIT,2012,504,1.9384615384615385,3646,27942383.076923076,Normal
2004162,detail,220,135,88,16,2613600,3247,UNIT,2020,378,1.4538461538461538,2878,28930541.53846154,Normal
2004177,detail,221,136,83,16,2494648,2955,UNIT,2031,50,0.19230769230769232,211,2024502.8,Normal
2004204,detail,221,136,83,40,2494648,2796,UNIT,2041,257,0.9884615384615385,1505,14440174.0,Normal
2004206,detail,221,136,83,25,2494648,2233,UNIT,2043,124,0.47692307692307695,891,8548966.8,Normal
2004223,detail,220,135,85,100,2524500,2825,UNIT,2060,27,0.10384615384615385,57,553448.0769230769,Normal
2039186,detail,150,130,15,1,292500,112,UNIT,2371,3676,14.138461538461538,6541,7358625.0,Fragile
2039211,detail,230,60,12,1,165600,67,UNIT,2379,63,0.2423076923076923,195,124200.0,Fragile
2018960,detail,600,180,50,1,5400000,1130,UNIT,2202,42,0.16153846153846155,110,2284615.3846153845,Normal
201990,detail,170,130,90,500,1989000,3500,UNIT,203,39,0.15,84,642600.0,Normal
2018412,detail,187,140,52,20,1361360,2521,UNIT,2167,67,0.25769230769230766,310,1623160.0,Normal
2076993,detail,165,125,92,1,1897500,592,UNIT,2696,11066,42.56153846153846,15224,111105923.07692307,Normal
2079926,detail,180,135,85,50,2065500,3405,UNIT,2728,119,0.4576923076923077,810,6434826.923076923,Normal
2074630,detail,145,100,40,1,580000,296,UNIT,2651,109,0.41923076923076924,278,620153.8461538461,Normal
2036089,detail,220,140,85,10,2618000,4260,UNIT,2294,256,0.9846153846153847,2236,22514800.0,Normal
2053601,detail,220,65,65,1,929500,579,UNIT,2473,700,2.6923076923076925,23818,85149350.0,Normal
2105719,detail,220,135,85,25,2524500,2652,UNIT,2905,1840,7.076923076923077,14124,137138607.69230768,Normal
2105874,detail,220,135,85,25,2524500,3921,UNIT,2930,45,0.17307692307692307,239,2320598.076923077,Normal
2105883,detail,220,135,82,16,2435400,1943,UNIT,2938,33,0.12692307692307692,728,6819120.0,Normal
2105900,detail,220,135,60,5,1782000,2568,UNIT,2954,51,0.19615384615384615,529,3625684.6153846155,Normal
2120427,detail,585,50,50,1,1462500,1480,UNIT,3147,411,1.5807692307692307,619,3481875.0,Normal
2122283,detail,580,45,45,1,1174500,1040,UNIT,3179,225,0.8653846153846154,487,2199928.846153846,Normal
2122298,detail,530,70,70,4,2597000,2587,UNIT,3191,229,0.8807692307692307,371,3705719.230769231,Normal
2122300,detail,330,30,30,1,297000,469,UNIT,3192,117,0.45,243,277580.76923076925,Normal
